"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that when sync produces no new attendees the count is unchanged or a no-op message is shown.","1944","sync with 0 new attendees shows no-op message or counter stays same","desktop","2026-03-18","failed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies that a last-sync timestamp indicator is visible on the attendees page.","6175","Last sync timestamp is shown","desktop","2026-03-18","failed","2026-03-18","Phase 4 — Bizzabo Sync","Phase 4 — Bizzabo Sync","",""
"Verifies attendee list is visible and email addresses are hidden on mobile.","1221","6.5 Attendee list is visible and hides email on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies clicking Cancel in the edit form closes it without changing the title.","33383","edit form cancel button returns to browse without saving","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that pressing browser back after visiting the FAQ page returns the user to the previous page.","1534","back navigation from FAQ returns correctly","mobile","2026-03-18","passed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies the Job Title column header is visible in the attendee table.","1291","Job Title column header is visible in attendee table","desktop","2026-03-18","failed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies that edit controls are only shown on the authenticated user's own roundtables.","1062","participant cannot see edit button on another host roundtable","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies loading indicators are visible before content loads at 375px, or content loads cleanly.","1008","Loading states visible on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that the sync button is visible and enabled for an authorized user on the attendees page.","6190","Sync button accessible to authorized user","mobile","2026-03-18","failed","2026-03-18","Phase 4 — Bizzabo Sync","Phase 4 — Bizzabo Sync","",""
"Verifies the delete confirmation dialog can be dismissed without deleting the meeting.","1042","delete confirmation dialog can be cancelled without deleting","desktop","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies the invite / attendee picker list is accessible and scrollable at 375px.","1009","Invite list scrollable on small screen","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that each attendee row shows an invitation status value.","1173","1.6 Invitation status values are displayed per attendee row","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies only one confirmation dialog appears even if the delete button is clicked multiple times.","979","multiple rapid delete button clicks do not stack dialogs","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies invitation status cells contain only expected label values.","1086","invitation status column shows valid status label values","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies that a very long question text does not cause horizontal overflow or layout breakage.","1027","very long question text does not break layout","desktop","2026-03-18","passed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies the FAQ page either loads publicly or redirects to the login page when accessed without authentication.","988","FAQ page loads without auth","desktop","2026-03-18","passed","2026-03-18","Phase 5 — FAQ","Phase 5 — FAQ","",""
"Verifies only one edit form opens even if the edit button is clicked rapidly.","33483","rapidly clicking edit does not open multiple edit forms","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the table is populated with names and no email addresses appear.","944","authenticated user name appears in attendee table without email","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies that a host can delete or cancel a roundtable and the confirmation dialog closes.","33494","3.4 Host can delete or cancel a roundtable","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies the Back button in the wizard returns the user to the previous step.","1280","creation wizard back navigation returns to previous step","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the private meetings page renders without horizontal overflow at mobile width.","1133","private meetings page loads at 375px mobile viewport","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the attendee search input is focusable and has a tappable bounding box at 375px.","917","Attendee search input tappable on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the sync button can receive keyboard focus, ensuring it is keyboard-accessible.","1071","sync button is accessible by keyboard","mobile","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies that clicking an attendee row navigates to a detail or profile page.","1083","attendee rows are clickable and navigate to a detail view","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies that FAQ items can be navigated and activated using keyboard Tab and Enter keys.","1159","keyboard navigation through FAQ items","mobile","2026-03-18","failed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies timezone text is visible on the private meetings page on mobile.","1034","6.7 Timezone is displayed on private meetings page on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the invite dialog exposes a close/cancel button for accessibility.","959","invite dialog has a close or cancel button","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies that an authenticated user can access the profile page and find an opt-out toggle.","1113","synced attendee can opt out of list","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies the roundtable creation page has a browser tab title.","701","create page document title is non-empty","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the FAQ heading is visible on the /faq route on mobile.","1136","6.4 FAQ page renders with content on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the roundtables browse page has a browser tab title.","949","browse page document title is non-empty","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies seat count or capacity info is visible on roundtable cards.","1230","seat count indicator is visible on cards","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that a sync history or log section is accessible when the feature is implemented.","997","sync log or history is accessible if feature exists","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies that the private meeting creation form fields have tappable bounding boxes at 375px.","1013","Private meeting creation form tappable on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies navigating to /private-meetings redirects or shows the meetings interface.","1118","private meetings page accessible from /private-meetings route","desktop","2026-03-18","failed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the page has a viewport meta tag with width=device-width to prevent layout shift on keyboard open.","923","Forms do not shift when keyboard opens (viewport meta check)","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies no raw ""null"" value appears from missing data.","976","no ""null"" text visible on private meetings page","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the Company column header is visible in the attendee table.","1347","Company column header is visible in attendee table","desktop","2026-03-18","failed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies that navigation (hamburger menu on mobile, nav bar on desktop) is visible.","1025","6.1 All main navigation links are functional on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies a count of attendees is shown on the attendees page.","1160","attendee count indicator is visible","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies clearing the search field restores all attendee rows.","1028","clearing search restores the full attendee list","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies FAQ answer text has a computed font size of at least 12px to avoid forced zoom on mobile.","1086","FAQ answers readable without zoom (font size check)","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the home page does not cause horizontal scrolling at 375px mobile viewport.","1117","No horizontal overflow on home page at 375px","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the private meetings page reloads without error.","1225","private meetings page remains functional after browser reload","desktop","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies that a long answer does not overflow its container — it must be either scrollable or visually contained within the viewport width.","1069","very long answer text is scrollable or readable","desktop","2026-03-18","passed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies the attendees page does not produce horizontal overflow at 375px viewport width.","988","Attendee list loads without horizontal scroll","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the edit roundtable form opens and its inputs have tappable bounding boxes at 375px.","935","Edit roundtable form fields tappable on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that a user who opted out of the attendee list remains hidden even after a subsequent sync.","999","opted-out attendee stays hidden after re-sync","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies the FAQ heading is within the initial viewport at 375px without needing to scroll.","1292","FAQ heading visible without scrolling","desktop","2026-03-18","failed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies email addresses are not exposed on the browse page.","806","no email visible anywhere on roundtables browse page","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies a button or link to create a roundtable is visible on the browse page or nav.","1132","create roundtable button or link is accessible","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies that a direct POST to the sync endpoint from an unauthenticated context returns a 401 or 403 response.","561","unauthorized sync attempt is rejected or unreachable","mobile","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies the title field in the creation wizard step 3 is a required input.","6607","creation flow step 3 title input is required","mobile","2026-03-18","failed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that typing in the search box reduces the visible attendee rows.","1033","searching a name narrows the attendee list","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies the private meetings page reloads without error.","1213","private meetings page remains functional after browser reload","mobile","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies that a timestamp or stale-data indicator is visible so users know when data was last refreshed.","6148","stale data indicator or last sync timestamp is shown before manual re-sync","mobile","2026-03-18","failed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies the roundtable creation wizard loads with step 1 visible.","1011","roundtable creation flow step 1 renders","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies the delete meeting button has a meaningful accessible label.","1014","delete button has an accessible name","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the FAQ page does not produce horizontal scroll at 375px viewport.","722","FAQ page has no horizontal overflow","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies text inputs have a font size of at least 16px to prevent auto-zoom on iOS Safari.","975","Font size readable without zoom (16px+ on inputs)","desktop","2026-03-18","failed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that Bizzabo registration sync has populated at least one attendee row.","1143","Bizzabo registration sync populates the attendee list","mobile","2026-03-18","passed","2026-03-18","Phase 4 — Bizzabo Sync","Phase 4 — Bizzabo Sync","",""
"Verifies that the sync trigger button is absent or hidden for non-admin roles, protecting against unauthorized sync.","1027","sync button is not visible to non-admin users","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies that buttons have non-zero bounding boxes on mobile (tappable touch targets).","1044","6.2 Buttons and forms are tappable on mobile screen","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies ""Browse All Roundtables"" heading is present on the browse page.","1171","browse page heading is visible","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies the timezone indicator includes a valid timezone format.","941","meeting timezone shown with UTC offset or named timezone","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the roundtable creation wizard step 1 renders a time-slot card at 375px.","1000","Roundtable creation wizard renders on mobile","desktop","2026-03-18","failed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the title field in the creation wizard step 3 is a required input.","6588","creation flow step 3 title input is required","desktop","2026-03-18","failed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies sorting by Job Title column leaves the table intact and email-free.","1011","sort by Job Title column does not break the table","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the confirm button inside the delete dialog has a tappable bounding box at 375px.","997","Mobile: delete flow confirm button tappable","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the sync button can receive keyboard focus, ensuring it is keyboard-accessible.","1012","sync button is accessible by keyboard","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies accordion behavior: opening one FAQ item closes the previously opened one.","1155","Only one item open at a time (accordion behavior)","desktop","2026-03-18","failed","2026-03-18","Phase 5 — FAQ","Phase 5 — FAQ","",""
"Verifies that a very long question text does not cause horizontal overflow or layout breakage.","937","very long question text does not break layout","mobile","2026-03-18","passed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies that a timestamp or stale-data indicator is visible so users know when data was last refreshed.","6158","stale data indicator or last sync timestamp is shown before manual re-sync","desktop","2026-03-18","failed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies ""Browse All Roundtables"" heading is present on the browse page.","1238","browse page heading is visible","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies that a direct POST to the sync endpoint from an unauthenticated context returns a 401 or 403 response.","461","unauthorized sync attempt is rejected or unreachable","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies the roundtables browse page reloads correctly.","1426","browse page remains functional after browser reload","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies navigating to /private-meetings redirects or shows the meetings interface.","1277","private meetings page accessible from /private-meetings route","mobile","2026-03-18","failed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies that clicking an expanded FAQ item again collapses it.","1175","FAQ item collapses on second click","mobile","2026-03-18","failed","2026-03-18","Phase 5 — FAQ","Phase 5 — FAQ","",""
"Verifies that the attendee list can be sorted by Name, Company, and Job Title.","1481","1.4 Attendee list can be sorted by Name, Company, and Job Title","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies the browser back button returns to the previous page correctly on mobile.","1292","Back navigation works with mobile browser back","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the delete/cancel button has a readable, accessible label.","33402","delete button has an accessible name","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the first row has content in at least two columns (name + one more).","1146","first attendee row has at least two non-empty cells","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies no email addresses are exposed anywhere on the private meetings page.","924","no email address visible in meeting list","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the FAQ page has a non-empty browser tab title.","1125","FAQ page title in document head","desktop","2026-03-18","failed","2026-03-18","Phase 5 — FAQ","Phase 5 — FAQ","",""
"Verifies time-slot buttons or cells have non-zero bounding boxes at 375px.","846","Time slot selection tappable on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies no raw ""null"" from missing data appears on the browse page.","983","no ""null"" text visible on roundtables browse page","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that navigation (hamburger menu on mobile, nav bar on desktop) is visible.","1069","6.1 All main navigation links are functional on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the private meetings page renders without horizontal overflow at mobile width.","996","private meetings page loads at 375px mobile viewport","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the sync button enters a loading or disabled state while the request is pending.","1064","sync in progress — button shows loading state or is disabled","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies that the Company column header is present, indicating the Bizzabo company field is mapped.","978","Bizzabo field mapping — company field populated for synced attendee","mobile","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies that a host can delete a private meeting and the confirmation dialog closes.","973","2.3 Host can delete a private meeting","mobile","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Private Meetings — Happy Path","",""
"Verifies that pressing browser back after visiting the FAQ page returns the user to the previous page.","1549","back navigation from FAQ returns correctly","desktop","2026-03-18","passed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies that the invite dialog contains a search field for finding attendees.","972","invite search input is present inside the invite dialog","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies no email addresses appear in the invite dialog after searching for a name.","1051","no email in invite dialog after searching","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies that the FAQ page document title is present when emulating print media — a proxy for print layout validity.","1200","print layout renders FAQ items expanded","mobile","2026-03-18","passed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies that email addresses are hidden from the attendee list for privacy.","1148","1.2 Email addresses are NOT visible in the attendee list","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies the browser back button returns to the previous page correctly on mobile.","1084","Back navigation works with mobile browser back","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that synced attendees have a visible, non-empty name in the first row.","1112","Synced attendee has name visible","desktop","2026-03-18","passed","2026-03-18","Phase 4 — Bizzabo Sync","Phase 4 — Bizzabo Sync","",""
"Verifies the private meetings manage page renders a list or relevant content at 375px.","877","Private meetings list scrollable on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that a confirmation dialog appears when attempting to delete a roundtable.","33861","delete confirmation dialog appears before roundtable is removed","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that host company and job title information appears on roundtable cards on the browse page.","1102","3.1 Host company and job title are displayed on the roundtables browse page","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies that the FAQ page renders correctly even when waiting for full network idle, simulating a slower connection.","1654","FAQ page loads on slow connection (networkidle wait)","desktop","2026-03-18","passed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies the table does not display raw ""null"" from missing data fields.","1010","no ""null"" text visible in attendee table","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies searching lowercase and uppercase returns the same result count.","1169","search is case-insensitive","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies timezone text is visible on the private meetings page at mobile width.","6203","timezone text is readable at 375px mobile viewport","mobile","2026-03-18","failed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies that the attendee list contains more than one row, confirming sync has run.","1170","more than one attendee is shown in the list","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies sort buttons are visible and have valid bounding boxes on mobile.","1702","6.6 Attendee list sort controls are tappable on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that when the network is interrupted mid-sync, an error or retry prompt is shown rather than a silent failure.","1134","network interruption during sync shows error or retry message","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies the table has a header row with column headers.","1323","table header row is present","desktop","2026-03-18","failed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies table cells have positive dimensions and are not collapsed.","1195","attendee table row cells do not overlap at default viewport","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the attendees page and data are still accessible after being idle without re-authentication.","1986","sync after long idle period — page still works","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies the roundtables browse page heading is visible on mobile.","1069","6.3 Roundtables page renders with content on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that an attendee count indicator is displayed after Bizzabo sync runs.","1188","Attendee count is shown on the attendees page after sync","mobile","2026-03-18","passed","2026-03-18","Phase 4 — Bizzabo Sync","Phase 4 — Bizzabo Sync","",""
"Verifies that searching for a non-matching string shows empty state or zero rows.","1360","search with no results shows empty state or zero rows","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the attendee list re-renders correctly after a page reload.","1361","attendees page remains functional after browser reload","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies that when exactly 1 attendee exists after sync the list renders that entry.","1011","sync with 1 attendee shows list with at least one entry","mobile","2026-03-18","failed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies that searching for a non-matching string shows empty state or zero rows.","1180","search with no results shows empty state or zero rows","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies status column headers stay visible when search is active.","998","invitation status columns remain visible after searching","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies a roundtable card fits within the 375px viewport width without triggering horizontal scroll.","1100","Roundtable card fully visible without horizontal scroll","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the roundtables browse page loads at narrow mobile viewport.","1032","browse page renders at 375px mobile viewport","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies email addresses are not exposed on the browse page.","976","no email visible anywhere on roundtables browse page","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the FAQ section renders within the mobile viewport (375px) without causing horizontal scrolling.","1098","FAQ section visible on mobile without horizontal scroll","desktop","2026-03-18","passed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies that a timezone label is shown on the roundtables browse page during time slot selection.","974","3.2 Timezone is displayed when browsing and selecting time slots","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies that the FAQ page document title is present when emulating print media — a proxy for print layout validity.","1287","print layout renders FAQ items expanded","desktop","2026-03-18","passed","2026-03-18","FAQ — Edge Cases","FAQ — Edge Cases","",""
"Verifies that a dialog triggered on mobile is horizontally centered within the 375px viewport.","969","Modals and dialogs centered on mobile screen","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies no raw ""null"" value appears from missing data.","981","no ""null"" text visible on private meetings page","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies that a seat count or capacity indicator appears on the roundtable card.","1163","seat count is shown on a roundtable card","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies the browser tab title contains a meaningful word for this page context.","960","page title contains relevant keyword","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the /roundtables/browse route loads successfully without a 404 error.","1090","navigation to roundtables browse page does not result in a 404","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies the attendee count indicator contains a digit, not a placeholder.","1207","attendee count shown is a numeric value","mobile","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the private meetings page renders content without a blank flash.","1011","page does not flash or show blank content on load","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies clicking Cancel in the delete dialog closes it without removing the roundtable.","33792","cancel button in delete confirmation dialog closes without deleting","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies attendee list is visible and email addresses are hidden on mobile.","1202","6.5 Attendee list is visible and hides email on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies clicking Cancel in the edit form closes it without changing the title.","34068","edit form cancel button returns to browse without saving","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies no raw ""undefined"" appears from missing data on the browse page.","1045","no ""undefined"" text on roundtables browse page","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies a button or link to create a roundtable is visible on the browse page or nav.","1213","create roundtable button or link is accessible","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies a host can delete a private meeting on mobile with a tappable delete button.","951","6.8 Host can delete a private meeting on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies sort buttons are visible and have valid bounding boxes on mobile.","1598","6.6 Attendee list sort controls are tappable on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies a search or filter input is present on the attendees page.","967","search input is present on the attendees page","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies that a sync status indicator (e.g. last sync time or sync badge) is shown on the attendees page.","6196","Sync status indicator is visible","desktop","2026-03-18","failed","2026-03-18","Phase 4 — Bizzabo Sync","Phase 4 — Bizzabo Sync","",""
